,sample_id,source,title,journal,author,longitude,latitude,method,material,type,composition,rock_name,sio2,tio2,al2o3,cr2o3,fe2o3,fe2o3t,feo,feot,nio,mno,mgo,cao,na2o,k2o,p2o5,loi,h2o,h2o_m,h2o_p,s,co2,f,cl,ag,as,au,b,ba,be,bi,cd,co,cr,cs,cu,ga,hf,hg,i,ir,k,li,mn,mo,nb,ni,os,pb,pd,pt,rb,re,sb,sc,se,sn,sr,ta,te,th,ti,tl,u,v,w,y,zn,zr,la,ce,pr,nd,sm,eu,gd,tb,dy,ho,er,tm,yb,lu,sr87_sr86,nd143_nd144,pb206_pb204,pb207_pb204,pb208_pb204,hf176_hf177,lu176_hf177,os187_os188,be10_be,he3_he4,rb87_sr86,sm147_nd144,u238_pb206,u235_pb207,th232_pb208
40,ML-2-3,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.75,EMP (EPMA),igneous,volcanic,,tholeiite,52.65,2.26,14.1,,,,,10.06,,,6.87,10.88,2.37,0.36,0.27,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ML-2-3,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.75,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.175,,,0.037,0.129,0.003,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ML-2-8,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.75,EMP (EPMA),igneous,volcanic,,tholeiite,52.04,2.01,13.94,,,,,9.91,,,7.65,10.88,2.23,0.32,0.23,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ML-2-8,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.75,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.262,,,0.039,0.094,0.003,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ML-3-30,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.85,EMP (EPMA),igneous,volcanic,,tholeiite,52.07,2.32,14.53,,,,,10.37,,,6.3,10.59,2.32,0.37,0.26,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ML-3-30,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.74,18.85,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.548,,,0.063,0.087,0.009,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ML-4-2,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.71,18.75,EMP (EPMA),igneous,volcanic,,tholeiite,51.9,2.65,13.58,,,,,11.41,,,5.98,10.25,2.36,0.49,0.34,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ML-4-2,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.71,18.75,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.259,,,0.061,0.058,0.003,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ML-4-10,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.71,18.75,EMP (EPMA),igneous,volcanic,,tholeiite,52.04,2.01,13.89,,,,,10.35,,,7.63,10.82,2.26,0.33,0.26,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ML-4-10,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.71,18.75,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.217,,,0.052,0.125,0.002,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
